[2018-07-11 05:33:40,631][DEBUG][thread:4] User: 0 URL=/api/device/listtemplate [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:33:40,655][DEBUG][thread:11] ListTemplate() method invoked in :15ms 0 requestId:0HLF6QQKT40RE:0000000F [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:40:56,960][DEBUG][thread:23] User: 0 URL=/api/device/listmodel [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:40:56,979][DEBUG][thread:21] ListModel() method invoked in :14ms 0 requestId:0HLF6QQKT40RF:00000002 [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:40:57,542][DEBUG][thread:22] User: 0 URL=/api/device/listproperty [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:40:57,562][DEBUG][thread:24] ListProperty() method invoked in :14ms 0 requestId:0HLF6QQKT40RF:00000004 [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:40:58,091][DEBUG][thread:21] User: 0 URL=/api/device/listmodel [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:40:58,113][DEBUG][thread:24] ListModel() method invoked in :15ms 0 requestId:0HLF6QQKT40RF:00000005 [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:40:58,528][DEBUG][thread:22] User: 0 URL=/api/device/listtemplate [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:40:58,550][DEBUG][thread:21] ListTemplate() method invoked in :14ms 0 requestId:0HLF6QQKT40RF:00000007 [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:41:35,299][DEBUG][thread:22] User: 0 URL=/api/values [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:52:37,166][DEBUG][thread:37] User: 0 URL=/api/js/json/config.js [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:52:40,410][DEBUG][thread:35] User: 0 URL=/api/device/listtemplate [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:52:40,559][DEBUG][thread:39] ListTemplate() method invoked in :143ms 0 requestId:0HLF6QQKT40RH:00000003 [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:52:41,454][DEBUG][thread:40] User: 0 URL=/api/device/listmodel [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:52:41,512][DEBUG][thread:40] ListModel() method invoked in :52ms 0 requestId:0HLF6QQKT40RH:00000005 [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:52:42,148][DEBUG][thread:39] User: 0 URL=/api/device/listproperty [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:52:42,171][DEBUG][thread:35] ListProperty() method invoked in :15ms 0 requestId:0HLF6QQKT40RH:00000007 [Core.Framework.Middleware.LogMiddleware.?]
